inc_lat,inc_lon,est_lat,est_lon,distancia,pos_estacion,fecha
28.6126,-17.862,28.63305555555556,-17.755,10.70633943311794,158,2021-09-30
28.6112,-17.8722,28.63305555555556,-17.755,11.71426268862421,158,2021-09-30
28.6023,-17.8705,28.63305555555556,-17.755,11.798435342354267,158,2021-09-30
28.6008,-17.8807,28.63305555555556,-17.755,12.802171486372528,158,2021-09-30
28.5957,-17.867,28.63305555555556,-17.755,11.709696641139864,168,2021-10-01
28.5964,-17.8718,28.63305555555556,-17.755,12.12368975669215,168,2021-10-01
28.6248,-17.8598,28.63305555555556,-17.755,10.288592592515178,168,2021-10-01
28.6103,-17.8638,28.63305555555556,-17.755,10.934512411130324,168,2021-10-01
28.6192,-17.8339,28.63305555555556,-17.755,7.866743290482514,168,2021-10-01
28.6153,-17.8865,28.63305555555556,-17.755,13.00895292551825,168,2021-10-01
28.6299,-17.8832,28.63305555555556,-17.755,12.540563029429691,168,2021-10-01
28.6054,-17.8414,28.63305555555556,-17.755,8.988120741603792,168,2021-10-01
37.9546,-4.023,38.02305555555555,-4.063888888888889,8.404512995089997,96,2021-10-01
28.616,-17.8698,28.63305555555556,-17.755,11.384170881956097,168,2021-10-01
28.6188,-17.9007,28.63305555555556,-17.755,14.3349568011171,168,2021-10-01
36.9265,-2.3498,36.84638888888889,-2.3569444444444447,8.913132825179922,120,2021-10-01
42.5296,0.344,42.63,-0.2247222222222222,48.002292294767834,159,2021-10-01
28.6239,-17.9082,28.63305555555556,-17.755,15.014993416078838,168,2021-10-01
28.6086,-17.8713,28.63305555555556,-17.755,11.691725852859083,168,2021-10-01
28.6156,-17.8952,28.63305555555556,-17.755,13.845821271393152,168,2021-10-01
28.6142,-17.9067,28.63305555555556,-17.755,14.981139301984037,168,2021-10-01
28.5989,-17.87,28.63305555555556,-17.755,11.866581720976626,168,2021-10-01
40.1828,-3.7175,40.46666666666667,-3.555555555555556,34.394522762825375,61,2021-10-01
28.6458,-17.8825,28.63305555555556,-17.755,12.546060689096597,164,2021-10-02
28.6224,-17.8755,28.63305555555556,-17.755,11.842212339990892,164,2021-10-02
28.604,-17.9046,28.63305555555556,-17.755,14.980227638453945,164,2021-10-02
28.606,-17.8748,28.63305555555556,-17.755,12.093284413165946,164,2021-10-02
28.6079,-17.8476,28.63305555555556,-17.755,9.475037448413444,164,2021-10-02
28.6274,-17.9129,28.63305555555556,-17.755,15.452718705721548,164,2021-10-02
28.6388,-17.8762,28.63305555555556,-17.755,11.86779892211693,164,2021-10-02
28.6294,-17.8813,28.63305555555556,-17.755,12.356572133037211,164,2021-10-02
