Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Buitrago del Lozoya,Madrid,27.4 (18:40),11.2 (07:00),19.3,28 (17:50),14 (17:40),4.9,0,0,0,4.9,41.00694444444444,-3.613611111111111
Sigüenza,Guadalajara,26.9 (18:00),11.1 (07:10),19,42 (21:40),20 (21:40),0,0,0,0,0,41.08638888888889,-2.618055555555556
Guadalajara,Guadalajara,31.5 (17:50),16.8 (07:30),24.1,71 (20:20),35 (20:20),4.4,0,0,0,4.4,40.63027777777778,-3.15
Colmenar Viejo,Madrid,27.4 (16:20),14.7 (23:00),21,45 (22:00),22 (23:10),0.8,0,0,0,0.8,40.69611111111111,-3.765
Toledo,Toledo,33.0 (16:40),18.1 (07:50),25.6,65 (21:10),41 (21:10),0.6,0,0,0,0.6,39.88472222222222,-4.045277777777778
Puerto Alto del León,Madrid,23.6 (17:30),11.4 (22:20),17.5,66 (21:20),36 (21:40),1.6,0,0,0,1.6,40.70638888888889,-4.141944444444444
Robledo de Chavela,Madrid,30.3 (17:40),15.3 (23:59),22.8,51 (20:50),23 (21:00),3.2,0,0,0,3.2,40.42777777777778,-4.25
Navalmoral de la Mata,Cáceres,33.5 (17:00),17.2 (06:30),25.4,48 (18:50),20 (18:50),2.6,0,0,0,2.6,39.94583333333333,-5.5825
Trujillo,Cáceres,31.0 (15:20),17.8 (18:00),24.4,61 (17:50),24 (10:10),10.4,0,0,10.3,0.1,39.4825,-5.854166666666666
Cáceres,Cáceres,31.2 (15:40),18.4 (07:40),24.8,45 (04:00),32 (05:10),0,0,0,0,0,39.47138888888889,-6.338888888888889
Coria,Cáceres,33.4 (15:50),18.2 (07:40),25.8,46 (18:00),24 (19:00),0,0,0,0,0,40.00361111111111,-6.5575
Valencia de Alcántara,Cáceres,29.0 (16:40),17.8 (08:00),23.4,42 (09:40),24 (09:50),0,0,0,0,0,39.414722222222224,-7.231111111111111
Quintanar de la Orden,Toledo,30.0 (17:00),16.3 (07:10),23.1,32 (05:50),13 (15:30),0,0,0,0,0,39.597500000000004,-3.0469444444444442
Madridejos,Toledo,31.2 (18:00),14.9 (07:50),23.1,42 (22:40),21 (22:40),4,0,0,0,4,39.49194444444444,-3.5283333333333333
San Clemente,Cuenca,28.6 (15:40),14.1 (06:50),21.4,35 (03:30),18 (03:30),0,0,0,0,0,39.416666666666664,-2.4205555555555556
Tomelloso,Ciudad Real,32.0 (15:30),14.5 (07:20),23.3,40 (16:20),22 (16:30),0,0,0,0,0,39.16916666666666,-3.0075
Ciudad Real,Ciudad Real,32.0 (17:00),17.4 (07:50),24.7,32 (18:50),16 (18:50),0,0,0,0,0,38.98916666666667,-3.9202777777777778
